code
000001.XSHE
000002.XSHE
000063.XSHE
000333.XSHE
000651.XSHE
000725.XSHE
000858.XSHE
002415.XSHE
002594.XSHE
300750.XSHE
600000.XSHG
600009.XSHG
600016.XSHG
600028.XSHG
600030.XSHG
600036.XSHG
600048.XSHG
600050.XSHG
600104.XSHG
600276.XSHG
600309.XSHG
600519.XSHG
600585.XSHG
600809.XSHG
600887.XSHG
600900.XSHG
601012.XSHG
601088.XSHG
601166.XSHG
601318.XSHG
601398.XSHG
601668.XSHG
601857.XSHG
601888.XSHG
603259.XSHG
